County,Establishment Type,Entity Name,DBA Name,Square Footage,Latitude,Longitude
Albany,Grocery/Manufacturer,ALL THE WAY UP GROCERY           ,ALL THE WAY UP GROCERY ,1500,42.667864,-73.77429
Albany,Grocery/Manufacturer,BREAKTHROUGH AFRICAN MARKET LLC  ,BREAKTHROUGH AFRICAN MA,5000,42.664705,-73.772432
Albany,Grocery/Manufacturer,CENTRAL MUNCHIES LLC             ,CENTRAL MUNCHIES       ,1700,42.662082,-73.769428
Albany,Grocery/Manufacturer,FUJISAN FRANCHISING CORP         ,FUJISAN (INSIDE SAMS CL,800,42.752101,-73.766837
Albany,Convenience Store,CUMBERLAND FARMS INC             ,CUMBERLAND FARMS #1694 ,4800,42.772326,-73.684735
Albany,Sushi,SUSHIC EAST LLC                  ,SUSHIC EAST (SHOPRITE #,0,42.725615,-73.842007
Albany,Deli,MUNEER ABDO HAMOOD NAJI          ,GOLD STAR DELI & GROCER,900,42.637565,-73.75947
Albany,Convenience Store,7-ELEVEN INC                     ,7-ELEVEN INC                     ,0,42.639931,-73.784962
Albany,Convenience Store,7-ELEVEN INC                     ,7-ELEVEN INC                     ,0,42.757607,-73.757771
Albany,Convenience Store,SHEBA DELICATESSEN & MARKET INC  ,7-ELEVEN INC                     ,1500,42.663628,-73.775187
Albany,Convenience Store,SPEEDWAY LLC                     ,7-ELEVEN INC                     ,2400,42.62919,-73.809578
Albany,Convenience Store,REDS SEAFOOD CO LLC              ,7-ELEVEN INC                     ,600,42.771902,-73.823151
Albany,Convenience Store,DELI QUEEN & GROCERY INC         ,7-ELEVEN INC                     ,1000,42.663959,-73.766792
Albany,Convenience Store,S AND A TRADING USA INC          ,7-ELEVEN INC                     ,3000,42.664543,-73.774272
Albany,Convenience Store,7-ELEVEN INC                     ,7-ELEVEN INC                     ,0,42.690493,-73.821889
Albany,Convenience Store,MALOOK STORE INC                 ,7-ELEVEN INC                     ,0,42.676278,-73.822606
Albany,Convenience Store,ALBANY MONNAT CORP               ,7-ELEVEN INC                     ,1500,42.601437,-73.792182
Albany,Convenience Store,ALFONSO A. RAMOS INCORPORATED    ,7-ELEVEN INC                     ,1200,42.663404,-73.770947
Albany,Convenience Store,BONILLA GERDA                    ,7-ELEVEN INC                     ,1500,42.658735,-73.765619
Albany,Convenience Store,RECORD TOWN INC                  ,7-ELEVEN INC                     ,4425,42.654737,-73.759826
Albany,Convenience Store,QURESHI'S PETROLEUM INC          ,7-ELEVEN INC                     ,2000,42.675669,-73.796014
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,7-ELEVEN INC                     ,10550,42.672142,-73.780898
Albany,Convenience Store,SUSHIC EAST LLC                  ,7-ELEVEN INC                     ,400,42.676302,-73.785702
Albany,Convenience Store,QUINN DELI AND GROCERY           ,7-ELEVEN INC                     ,1600,42.652233,-73.767315
Albany,Convenience Store,FAMILY DELI AND GROCERY OF ALBANY,7-ELEVEN INC                     ,1200,42.658163,-73.764966
Albany,Convenience Store,HEALING MEALS LLC                ,7-ELEVEN                         ,900,42.693853,-73.773554
Albany,Convenience Store,DOLLAR TREE STORES INC           ,7-ELEVEN INC                     ,5000,42.734747,-73.852388
Albany,Convenience Store,AL AQSA MEAT AND GROCER IMPORT LL,7-ELEVEN INC                     ,1200,42.739556,-73.735547
Albany,Convenience Store,CUMBERLAND FARMS INC             ,7-ELEVEN INC                     ,0,42.769407,-73.819442
Albany,Convenience Store,EXPRESS SAVING DISCOUNT STORE INC,7-ELEVEN INC                     ,1200,42.653044,-73.786682
Albany,Convenience Store,HALAL SUPERMARKETS INC           ,7-ELEVEN INC                     ,0,42.664654,-73.772375
Albany,Convenience Store,SUNOCO RETAIL LLC                ,7-ELEVEN INC                     ,1800,42.757607,-73.757771
Albany,Convenience Store,HOME MART INC                    ,7-ELEVEN INC                     ,1500,42.70305,-73.816231
Albany,Convenience Store,GEORGES MARKET & NURSERY LLC     ,7-ELEVEN INC                     ,3000,42.738797,-73.825272
Albany,Convenience Store,MASHRAH AND HUSSEIN INC          ,7-ELEVEN INC                     ,1800,42.640037,-73.784652
Albany,Convenience Store,STEWARTS SHOPS CORP              ,7-ELEVEN INC                     ,4000,42.730842,-73.701388
Albany,Convenience Store,FLY BY FOOD MART INC             ,7-ELEVEN INC                     ,0,42.638707,-73.758459
Albany,Convenience Store,FRESH NEIGHBORHOOD MARKET LLC    ,7-ELEVEN INC                     ,0,42.664363,-73.765765
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,7-ELEVEN INC                     ,0,42.697187,-73.886517
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,7-ELEVEN INC                     ,0,42.774188,-73.702664
Albany,Convenience Store,SIRAJCO INC                      ,7-ELEVEN INC                     ,1200,42.771992,-73.71226
Albany,Convenience Store,SALEH AMIN H                     ,7-ELEVEN INC                     ,1400,42.662406,-73.764127
Albany,Convenience Store,STEWARTS SHOPS CORP              ,7-ELEVEN INC                     ,2000,42.743273,-73.837437
Albany,Convenience Store,STEWARTS SHOPS CORP              ,7-ELEVEN INC                     ,2250,42.673062,-73.751109
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,7-ELEVEN INC                     ,14000,42.732154,-73.849443
Albany,Convenience Store,ABUZAID SADIK A                  ,7-ELEVEN INC                     ,1000,42.639212,-73.7696
Albany,Convenience Store,LANSING ALBERT                   ,7-ELEVEN INC                     ,1200,42.761444,-73.85728
Albany,Convenience Store,MIGUELS JEWELRY LLC              ,7-ELEVEN INC                     ,1800,42.643407,-73.755966
Albany,Convenience Store,CVS ALBANY LLC                   ,7-ELEVEN INC                     ,13462,42.680263,-73.790241
Albany,Convenience Store,PRICE CHOPPER OPERATING CO INC   ,7-ELEVEN INC                     ,80000,42.636568,-73.856367
Albany,Convenience Store,STEWARTS SHOPS CORP              ,7-ELEVEN INC                     ,1800,42.653129,-73.788287
Albany,Convenience Store,MARTINS FOODS OF S BURLINGTON LLC,7-ELEVEN INC                     ,70000,42.716008,-73.810596
Albany,Convenience Store,COUNTRYSIDE MARTS INC            ,7-ELEVEN INC                     ,2500,42.613209,-74.067235
Albany,Convenience Store,KOUNOUPIS PETER                  ,7-ELEVEN INC                     ,800,42.738265,-73.762018
